path,relative_path,split,raw_device,device,label,setup,location,distance,scene,file_index,fold,held_out_location,held_out_distance
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_1.dat,Diff_Distances_Setup/10m/IQ_1.dat,train,1,1,0,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_2.dat,Diff_Distances_Setup/10m/IQ_2.dat,train,2,2,1,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_3.dat,Diff_Distances_Setup/10m/IQ_3.dat,train,3,3,2,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_4.dat,Diff_Distances_Setup/10m/IQ_4.dat,train,4,4,3,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_5.dat,Diff_Distances_Setup/10m/IQ_5.dat,train,5,5,4,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_6.dat,Diff_Distances_Setup/10m/IQ_6.dat,train,6,6,5,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_7.dat,Diff_Distances_Setup/10m/IQ_7.dat,train,7,7,6,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_8.dat,Diff_Distances_Setup/10m/IQ_8.dat,train,8,8,7,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_10.dat,Diff_Distances_Setup/10m/IQ_10.dat,train,10,9,8,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_11.dat,Diff_Distances_Setup/10m/IQ_11.dat,train,11,10,9,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_12.dat,Diff_Distances_Setup/10m/IQ_12.dat,train,12,11,10,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_13.dat,Diff_Distances_Setup/10m/IQ_13.dat,train,13,12,11,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_14.dat,Diff_Distances_Setup/10m/IQ_14.dat,train,14,13,12,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_15.dat,Diff_Distances_Setup/10m/IQ_15.dat,train,15,14,13,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_16.dat,Diff_Distances_Setup/10m/IQ_16.dat,train,16,15,14,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_17.dat,Diff_Distances_Setup/10m/IQ_17.dat,train,17,16,15,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_18.dat,Diff_Distances_Setup/10m/IQ_18.dat,train,18,17,16,diff_distances,0,10,indoor,1,5m,,5m
data/raw/osu_lora/Diff_Distances_Setup/10m/IQ_19.dat,Diff_Distances_Setup/10m/IQ_19.dat,train,19,18,17,diff_distances,0,10,indoor,1,5m,,5m
