direction,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
rx1_to_rx2,0,0,1,0.0,cosine,0.375,0.2805555555555555
rx1_to_rx2,0,0,1,0.25,cosine,0.3333333333333333,0.22499999999999998
rx1_to_rx2,0,0,1,0.5,cosine,0.16666666666666666,0.11388888888888889
rx1_to_rx2,0,0,1,0.75,cosine,0.3333333333333333,0.2569444444444444
rx1_to_rx2,0,0,1,1.0,cosine,0.125,0.08333333333333333
rx1_to_rx2,0,0,3,0.0,cosine,0.3333333333333333,0.24583333333333332
rx1_to_rx2,0,0,3,0.25,cosine,0.5,0.4055555555555556
rx1_to_rx2,0,0,3,0.5,cosine,0.4166666666666667,0.34722222222222215
rx1_to_rx2,0,0,3,0.75,cosine,0.25,0.1875
rx1_to_rx2,0,0,3,1.0,cosine,0.125,0.08333333333333333
rx1_to_rx2,0,0,5,0.0,cosine,0.4583333333333333,0.3680555555555555
rx1_to_rx2,0,0,5,0.25,cosine,0.5416666666666666,0.4333333333333333
rx1_to_rx2,0,0,5,0.5,cosine,0.2916666666666667,0.20138888888888887
rx1_to_rx2,0,0,5,0.75,cosine,0.16666666666666666,0.125
rx1_to_rx2,0,0,5,1.0,cosine,0.125,0.08333333333333333
rx1_to_rx2,0,0,10,0.0,cosine,0.5833333333333334,0.4930555555555555
rx1_to_rx2,0,0,10,0.25,cosine,0.5416666666666666,0.4791666666666667
rx1_to_rx2,0,0,10,0.5,cosine,0.3333333333333333,0.27777777777777773
rx1_to_rx2,0,0,10,0.75,cosine,0.20833333333333334,0.15277777777777776
rx1_to_rx2,0,0,10,1.0,cosine,0.125,0.08333333333333333
rx1_to_rx2,0,0,20,0.0,cosine,0.7083333333333334,0.6180555555555555
rx1_to_rx2,0,0,20,0.25,cosine,0.5833333333333334,0.5
rx1_to_rx2,0,0,20,0.5,cosine,0.375,0.2986111111111111
rx1_to_rx2,0,0,20,0.75,cosine,0.20833333333333334,0.15277777777777776
rx1_to_rx2,0,0,20,1.0,cosine,0.125,0.08333333333333333
rx1_to_rx2,0,1,1,0.0,cosine,0.2916666666666667,0.2063492063492063
rx1_to_rx2,0,1,1,0.25,cosine,0.3333333333333333,0.2523148148148148
rx1_to_rx2,0,1,1,0.5,cosine,0.3333333333333333,0.22996031746031745
rx1_to_rx2,0,1,1,0.75,cosine,0.2916666666666667,0.22916666666666666
rx1_to_rx2,0,1,1,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,1,3,0.0,cosine,0.5416666666666666,0.44940476190476186
rx1_to_rx2,0,1,3,0.25,cosine,0.4166666666666667,0.3194444444444444
rx1_to_rx2,0,1,3,0.5,cosine,0.375,0.2916666666666667
rx1_to_rx2,0,1,3,0.75,cosine,0.08333333333333333,0.05555555555555555
rx1_to_rx2,0,1,3,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,1,5,0.0,cosine,0.5833333333333334,0.5257936507936508
rx1_to_rx2,0,1,5,0.25,cosine,0.5,0.4236111111111111
rx1_to_rx2,0,1,5,0.5,cosine,0.2916666666666667,0.22916666666666666
rx1_to_rx2,0,1,5,0.75,cosine,0.16666666666666666,0.11805555555555554
rx1_to_rx2,0,1,5,1.0,cosine,0.041666666666666664,0.027777777777777776
