method,shot_k,mean_file_acc,std_file_acc,n_runs
RCPA-T,1,0.33101851851851855,0.11152027287449912,18
RCPA-T,3,0.49768518518518523,0.11408538454029266,18
RCPA-T,5,0.5833333333333335,0.09001028747788695,18
RCPA-T,10,0.6944444444444444,0.09722222222222224,18
RCPA-T,20,0.7500000000000001,0.07978559231302818,18
RCPA-B,0,0.1412037037037037,0.05749880716839917,18
RCPA-B,1,0.29629629629629634,0.061940222964165056,18
RCPA-B,3,0.33796296296296297,0.07202013512085206,18
RCPA-B,5,0.3611111111111111,0.05007710104811096,18
RCPA-B,10,0.37037037037037035,0.05707790743489792,18
RCPA-B,20,0.3773148148148148,0.04494557370126759,18
source_classifier,-1,0.2013888888888889,0.06696979695133996,18
