direction,method,shot_k,mean_file_acc,std_file_acc,n_runs
rx1_to_rx2,RCPA-S,0,0.15277777777777776,0.0734930919740164,9
rx1_to_rx2,RCPA-S,1,0.15277777777777776,0.0734930919740164,9
rx1_to_rx2,RCPA-S,3,0.15277777777777776,0.0734930919740164,9
rx1_to_rx2,RCPA-S,5,0.15277777777777776,0.0734930919740164,9
rx1_to_rx2,RCPA-S,10,0.15277777777777776,0.0734930919740164,9
rx1_to_rx2,RCPA-S,20,0.15277777777777776,0.0734930919740164,9
rx1_to_rx2,RCPA-T,1,0.3611111111111111,0.11947673982003648,9
rx1_to_rx2,RCPA-T,3,0.49074074074074076,0.12542793689022283,9
rx1_to_rx2,RCPA-T,5,0.5740740740740741,0.09374285523757679,9
rx1_to_rx2,RCPA-T,10,0.675925925925926,0.09972527420619454,9
rx1_to_rx2,RCPA-T,20,0.7731481481481483,0.0711217198876723,9
rx1_to_rx2,RCPA-B,0,0.15277777777777776,0.0734930919740164,9
rx1_to_rx2,RCPA-B,1,0.29166666666666663,0.06514466333088097,9
rx1_to_rx2,RCPA-B,3,0.3287037037037037,0.05707790743489793,9
rx1_to_rx2,RCPA-B,5,0.33796296296296297,0.041408666249996104,9
rx1_to_rx2,RCPA-B,10,0.33796296296296297,0.041408666249996104,9
rx1_to_rx2,RCPA-B,20,0.3796296296296296,0.03070948879958705,9
rx1_to_rx2,source_classifier,-1,0.19444444444444448,0.03402069087198859,9
