repr,eq_method,phase,receiver_probe_acc,device_probe_acc
oob_only,none,before,0.7511111111111111,0.27701914673869865
main_only,none,before,0.6088888888888888,0.04427160297661608
fused,none,before,0.4177777777777778,0.2831995974682874
late_fusion,none,before,0.6044444444444445,0.2080130293159609
oob_only,mean_shift,after,0.37555555555555553,0.277670082889754
main_only,mean_shift,after,0.5666666666666667,0.04394587007759328
fused,mean_shift,after,0.3533333333333333,0.28189719551918646
late_fusion,mean_shift,after,0.43555555555555553,0.2080130293159609
oob_only,std_alignment,after,0.37555555555555553,0.2779947564947962
main_only,std_alignment,after,0.5666666666666667,0.04427160297661608
fused,std_alignment,after,0.33111111111111113,0.2825481316702418
late_fusion,std_alignment,after,0.43555555555555553,0.21094303646619528
oob_only,coral,after,0.3555555555555555,0.28092423399804034
main_only,coral,after,0.4600000000000001,0.04492147983369084
fused,coral,after,0.37111111111111106,0.2812452000741506
late_fusion,coral,after,0.4155555555555555,0.21419983580943303
