eq_method,repr,eval_method,shot_k,file_acc,macro_f1
none,oob_only,RCPA-S_ref,0,0.16666666666666666,0.11388888888888887
none,oob_only,RCPA-T,1,0.16666666666666666,0.07175925925925926
none,oob_only,RCPA-T,3,0.375,0.25
none,oob_only,RCPA-T,5,0.25,0.1597222222222222
none,main_only,RCPA-S_ref,0,0.08333333333333333,0.05555555555555555
none,main_only,RCPA-T,1,0.0,0.0
none,main_only,RCPA-T,3,0.041666666666666664,0.010416666666666666
none,main_only,RCPA-T,5,0.041666666666666664,0.006944444444444445
none,fused,source_classifier,-1,0.16666666666666666,0.11805555555555554
none,fused,RCPA-S_ref,0,0.125,0.08333333333333333
none,fused,RCPA-T,1,0.375,0.2805555555555555
none,fused,RCPA-T,3,0.3333333333333333,0.24583333333333332
none,fused,RCPA-T,5,0.4583333333333333,0.3680555555555555
none,late_fusion,RCPA-S_ref,0,0.2916666666666667,0.25
none,late_fusion,RCPA-T,1,0.08333333333333333,0.019841269841269844
none,late_fusion,RCPA-T,3,0.08333333333333333,0.05555555555555555
none,late_fusion,RCPA-T,5,0.125,0.0537037037037037
mean_shift,oob_only,oob_eq_only,0,0.3333333333333333,0.3055555555555555
mean_shift,oob_only,oob_eq_only,1,0.3333333333333333,0.3055555555555555
mean_shift,oob_only,oob_eq_RCPA-T,1,0.16666666666666666,0.07175925925925926
mean_shift,oob_only,oob_eq_only,3,0.3333333333333333,0.3055555555555555
mean_shift,oob_only,oob_eq_RCPA-T,3,0.375,0.25
mean_shift,oob_only,oob_eq_only,5,0.3333333333333333,0.3055555555555555
mean_shift,oob_only,oob_eq_RCPA-T,5,0.25,0.1597222222222222
mean_shift,main_only,oob_eq_only,0,0.08333333333333333,0.048611111111111105
mean_shift,main_only,oob_eq_only,1,0.08333333333333333,0.048611111111111105
mean_shift,main_only,oob_eq_RCPA-T,1,0.0,0.0
mean_shift,main_only,oob_eq_only,3,0.08333333333333333,0.048611111111111105
mean_shift,main_only,oob_eq_RCPA-T,3,0.041666666666666664,0.010416666666666666
mean_shift,main_only,oob_eq_only,5,0.08333333333333333,0.048611111111111105
mean_shift,main_only,oob_eq_RCPA-T,5,0.041666666666666664,0.006944444444444445
mean_shift,fused,oob_eq_only,-1,0.16666666666666666,0.11805555555555554
mean_shift,fused,oob_eq_only,0,0.16666666666666666,0.10416666666666667
mean_shift,fused,oob_eq_only,1,0.16666666666666666,0.10416666666666667
mean_shift,fused,oob_eq_RCPA-T,1,0.3333333333333333,0.2666666666666666
mean_shift,fused,oob_eq_only,3,0.16666666666666666,0.10416666666666667
mean_shift,fused,oob_eq_RCPA-T,3,0.3333333333333333,0.24583333333333332
mean_shift,fused,oob_eq_only,5,0.16666666666666666,0.10416666666666667
mean_shift,fused,oob_eq_RCPA-T,5,0.4166666666666667,0.3263888888888889
mean_shift,late_fusion,oob_eq_only,0,0.25,0.20833333333333334
mean_shift,late_fusion,oob_eq_only,1,0.25,0.20833333333333334
mean_shift,late_fusion,oob_eq_RCPA-T,1,0.08333333333333333,0.019841269841269844
