method,calibration_mode,trainable_params,direction,seed,split_seed,shot_k,init,file_acc,macro_f1
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,1,source,0.2916666666666667,0.20069444444444443
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,1,random,0.2916666666666667,0.20069444444444443
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,5,source,0.4166666666666667,0.3009259259259259
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,5,random,0.4166666666666667,0.3277777777777778
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,10,source,0.5416666666666666,0.4583333333333333
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,10,random,0.5,0.4305555555555555
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,1,source,0.20833333333333334,0.10555555555555556
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,1,random,0.25,0.1534090909090909
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,5,source,0.3333333333333333,0.2507936507936508
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,5,random,0.25,0.16746031746031745
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,10,source,0.4583333333333333,0.3638888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,10,random,0.4583333333333333,0.375
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,1,source,0.25,0.1763888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,1,random,0.25,0.1763888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,5,source,0.4583333333333333,0.3638888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,5,random,0.3333333333333333,0.25277777777777777
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,10,source,0.5833333333333334,0.4888888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,10,random,0.5833333333333334,0.48194444444444445
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,0,1,source,0.4166666666666667,0.34722222222222215
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,0,1,random,0.4166666666666667,0.3611111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,0,5,source,0.5,0.37777777777777777
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,0,5,random,0.5,0.3819444444444444
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,0,10,source,0.5833333333333334,0.5208333333333334
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,0,10,random,0.5416666666666666,0.45138888888888884
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,1,1,source,0.2916666666666667,0.2638888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,1,1,random,0.25,0.23611111111111108
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,1,5,source,0.5416666666666666,0.45138888888888884
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,1,5,random,0.5833333333333334,0.5
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,1,10,source,0.6666666666666666,0.6208333333333333
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,1,10,random,0.7083333333333334,0.6666666666666666
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,2,1,source,0.20833333333333334,0.13472222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,2,1,random,0.25,0.15555555555555553
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,2,5,source,0.4166666666666667,0.3194444444444444
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,2,5,random,0.4166666666666667,0.31249999999999994
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,2,10,source,0.625,0.5277777777777777
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,1,2,10,random,0.5833333333333334,0.4930555555555555
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,0,1,source,0.5,0.3847222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,0,1,random,0.4583333333333333,0.3680555555555555
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,0,5,source,0.7083333333333334,0.6416666666666667
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,0,5,random,0.7083333333333334,0.6527777777777778
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,0,10,source,0.8333333333333334,0.7944444444444444
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,0,10,random,0.75,0.7083333333333334
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,1,1,source,0.4583333333333333,0.3688492063492063
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,1,1,random,0.375,0.28134920634920635
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,1,5,source,0.7083333333333334,0.6319444444444443
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,1,5,random,0.625,0.5513888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,1,10,source,0.875,0.8333333333333334
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,1,10,random,0.8333333333333334,0.7777777777777777
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,2,1,source,0.375,0.2986111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,2,1,random,0.4166666666666667,0.3611111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,2,5,source,0.6666666666666666,0.5902777777777778
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,2,5,random,0.7083333333333334,0.6388888888888888
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,2,10,source,0.75,0.6944444444444443
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,2,2,10,random,0.7083333333333334,0.6458333333333333
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,0,1,source,0.25,0.20833333333333334
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,0,1,random,0.2916666666666667,0.23194444444444443
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,0,5,source,0.5416666666666666,0.4611111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,0,5,random,0.5416666666666666,0.4472222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,0,10,source,0.5833333333333334,0.5243055555555555
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,0,10,random,0.5416666666666666,0.498015873015873
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,1,1,source,0.20833333333333334,0.14930555555555555
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,1,1,random,0.25,0.1909722222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,1,5,source,0.375,0.2847222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,1,5,random,0.3333333333333333,0.23194444444444443
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,1,10,source,0.5833333333333334,0.5
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,1,10,random,0.5833333333333334,0.5
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,2,1,source,0.20833333333333334,0.13472222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,2,1,random,0.16666666666666666,0.125
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,2,5,source,0.4583333333333333,0.33829365079365076
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,2,5,random,0.5,0.39384920634920634
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,2,10,source,0.5416666666666666,0.4680555555555555
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,0,2,10,random,0.5416666666666666,0.4680555555555555
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,0,1,source,0.2916666666666667,0.2222222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,0,1,random,0.4166666666666667,0.34027777777777773
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,0,5,source,0.625,0.5444444444444444
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,0,5,random,0.5833333333333334,0.5
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,0,10,source,0.625,0.5347222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,0,10,random,0.6666666666666666,0.5833333333333333
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,1,1,source,0.5416666666666666,0.44940476190476186
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,1,1,random,0.4166666666666667,0.2986111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,1,5,source,0.7083333333333334,0.6319444444444444
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,1,5,random,0.625,0.5444444444444444
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,1,10,source,0.625,0.5347222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,1,10,random,0.6666666666666666,0.5625
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,2,1,source,0.20833333333333334,0.11805555555555557
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,2,1,random,0.20833333333333334,0.12777777777777777
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,2,5,source,0.5833333333333334,0.4930555555555555
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,2,5,random,0.625,0.5375
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,2,10,source,0.7916666666666666,0.7291666666666666
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,1,2,10,random,0.7083333333333334,0.6319444444444444
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,0,1,source,0.2916666666666667,0.21805555555555553
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,0,1,random,0.375,0.28472222222222215
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,0,5,source,0.4166666666666667,0.3125
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,0,5,random,0.4166666666666667,0.31527777777777777
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,0,10,source,0.6666666666666666,0.5861111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,0,10,random,0.6666666666666666,0.5722222222222222
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,1,1,source,0.20833333333333334,0.12996031746031744
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,1,1,random,0.25,0.1875
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,1,5,source,0.5833333333333334,0.4611111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,1,5,random,0.5416666666666666,0.4361111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,1,10,source,0.5833333333333334,0.48194444444444445
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,1,10,random,0.5833333333333334,0.48194444444444445
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,2,1,source,0.25,0.1875
head_finetune_kshot,k_shot_labeled,linear head,rx2_to_rx1,2,2,1,random,0.2916666666666667,0.25277777777777777
