method,calibration_mode,trainable_params,direction,seed,split_seed,shot_k,init,file_acc,macro_f1
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,0,1,n/a,0.3333333333333333,0.22996031746031745
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,0,5,n/a,0.375,0.27579365079365076
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,0,10,n/a,0.7083333333333334,0.625
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,1,1,n/a,0.20833333333333334,0.12638888888888888
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,1,5,n/a,0.4166666666666667,0.32638888888888884
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,1,10,n/a,0.4583333333333333,0.3958333333333333
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,2,1,n/a,0.25,0.16527777777777777
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,2,5,n/a,0.5833333333333334,0.4861111111111111
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,2,10,n/a,0.625,0.5236111111111111
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,0,1,n/a,0.4583333333333333,0.38888888888888884
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,0,5,n/a,0.5416666666666666,0.4222222222222222
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,0,10,n/a,0.5833333333333334,0.5
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,1,1,n/a,0.25,0.1875
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,1,5,n/a,0.5416666666666666,0.4444444444444444
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,1,10,n/a,0.7083333333333334,0.625
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,2,1,n/a,0.3333333333333333,0.21805555555555553
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,2,5,n/a,0.5,0.38888888888888884
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,2,10,n/a,0.625,0.5416666666666666
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,0,1,n/a,0.4583333333333333,0.3499999999999999
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,0,5,n/a,0.7083333333333334,0.6527777777777778
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,0,10,n/a,0.8333333333333334,0.7847222222222222
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,1,1,n/a,0.5,0.41250000000000003
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,1,5,n/a,0.7916666666666666,0.7430555555555555
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,1,10,n/a,0.9166666666666666,0.8888888888888888
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,2,1,n/a,0.4166666666666667,0.3361111111111111
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,2,5,n/a,0.7083333333333334,0.6458333333333333
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,2,2,10,n/a,0.7916666666666666,0.736111111111111
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,0,1,n/a,0.25,0.1875
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,0,5,n/a,0.5416666666666666,0.46527777777777773
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,0,10,n/a,0.5416666666666666,0.4702380952380952
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,1,1,n/a,0.2916666666666667,0.2222222222222222
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,1,5,n/a,0.4166666666666667,0.32916666666666666
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,1,10,n/a,0.625,0.5305555555555556
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,2,1,n/a,0.125,0.06944444444444443
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,2,5,n/a,0.4583333333333333,0.3638888888888889
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,0,2,10,n/a,0.5833333333333334,0.5
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,1,0,1,n/a,0.4583333333333333,0.3680555555555555
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,1,0,5,n/a,0.75,0.6833333333333332
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,1,0,10,n/a,0.625,0.5277777777777778
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,1,1,1,n/a,0.4583333333333333,0.3958333333333333
linear_probe_kshot,k_shot_labeled,logistic head,rx2_to_rx1,1,1,5,n/a,0.75,0.673611111111111
