method,calibration_mode,trainable_params,direction,seed,split_seed,shot_k,init,file_acc,macro_f1
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,0,0,0,source,0.2916666666666667,0.2111111111111111
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,0,0,0,source,0.125,0.08333333333333333
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,0,0,0,source,0.25,0.17361111111111108
feat_coral_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,0,0,0,source,0.08333333333333333,0.05555555555555555
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,0,1,n/a,0.3333333333333333,0.22996031746031745
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,1,source,0.2916666666666667,0.20069444444444443
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,1,random,0.2916666666666667,0.20069444444444443
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,0,5,n/a,0.375,0.27579365079365076
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,5,source,0.4166666666666667,0.3009259259259259
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,5,random,0.4166666666666667,0.3277777777777778
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,0,10,n/a,0.7083333333333334,0.625
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,10,source,0.5416666666666666,0.4583333333333333
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,0,10,random,0.5,0.4305555555555555
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,0,1,0,source,0.25,0.19722222222222222
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,0,1,0,source,0.041666666666666664,0.027777777777777776
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,0,1,0,source,0.2916666666666667,0.19444444444444442
feat_coral_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,0,1,0,source,0.041666666666666664,0.027777777777777776
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,1,1,n/a,0.20833333333333334,0.12638888888888888
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,1,source,0.20833333333333334,0.10555555555555556
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,1,random,0.25,0.1534090909090909
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,1,5,n/a,0.4166666666666667,0.32638888888888884
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,5,source,0.3333333333333333,0.2507936507936508
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,5,random,0.25,0.16746031746031745
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,1,10,n/a,0.4583333333333333,0.3958333333333333
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,10,source,0.4583333333333333,0.3638888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,1,10,random,0.4583333333333333,0.375
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,0,2,0,source,0.20833333333333334,0.15555555555555556
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,0,2,0,source,0.041666666666666664,0.027777777777777776
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,0,2,0,source,0.20833333333333334,0.15277777777777776
feat_coral_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,0,2,0,source,0.08333333333333333,0.05555555555555555
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,2,1,n/a,0.25,0.16527777777777777
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,1,source,0.25,0.1763888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,1,random,0.25,0.1763888888888889
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,2,5,n/a,0.5833333333333334,0.4861111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,5,source,0.4583333333333333,0.3638888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,5,random,0.3333333333333333,0.25277777777777777
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,0,2,10,n/a,0.625,0.5236111111111111
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,10,source,0.5833333333333334,0.4888888888888889
head_finetune_kshot,k_shot_labeled,linear head,rx1_to_rx2,0,2,10,random,0.5833333333333334,0.48194444444444445
feat_mean_shift_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,1,0,0,source,0.16666666666666666,0.13194444444444445
feat_mean_shift_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,1,0,0,source,0.20833333333333334,0.1597222222222222
feat_coral_source_classifier,unlabeled_target,head frozen (source),rx1_to_rx2,1,0,0,source,0.125,0.08333333333333333
feat_coral_source_prototype,unlabeled_target,none (prototype),rx1_to_rx2,1,0,0,source,0.125,0.08333333333333333
linear_probe_kshot,k_shot_labeled,logistic head,rx1_to_rx2,1,0,1,n/a,0.4583333333333333,0.38888888888888884
