perturbation_family,perturb_type,strength,file_acc,file_acc_pct,window_acc,is_clean
AWGN,awgn_snr_db,100.0,0.8333333333333334,83.33,0.3865559895833333,True
AWGN,awgn_snr_db,40.0,0.8333333333333334,83.33,0.38330078125,False
AWGN,awgn_snr_db,30.0,0.7083333333333334,70.83,0.3326822916666667,False
AWGN,awgn_snr_db,25.0,0.375,37.5,0.2506510416666667,False
AWGN,awgn_snr_db,20.0,0.2916666666666667,29.17,0.18196614583333334,False
AWGN,awgn_snr_db,15.0,0.16666666666666666,16.67,0.12874348958333334,False
AWGN,awgn_snr_db,10.0,0.041666666666666664,4.17,0.058268229166666664,False
AWGN,awgn_snr_db,5.0,0.041666666666666664,4.17,0.032063802083333336,False
AWGN,awgn_snr_db,0.0,0.041666666666666664,4.17,0.042317708333333336,False
CFO,cfo_norm,0.0,0.8333333333333334,83.33,0.3865559895833333,True
CFO,cfo_norm,0.001,0.20833333333333334,20.83,0.17496744791666666,False
CFO,cfo_norm,0.003,0.041666666666666664,4.17,0.10400390625,False
CFO,cfo_norm,0.005,0.041666666666666664,4.17,0.06819661458333333,False
CFO,cfo_norm,0.01,0.041666666666666664,4.17,0.042643229166666664,False
CFO,cfo_norm,0.02,0.041666666666666664,4.17,0.041829427083333336,False
CFO,cfo_norm,0.03,0.041666666666666664,4.17,0.03759765625,False
CFO,cfo_norm,0.05,0.041666666666666664,4.17,0.0439453125,False
CFO,cfo_norm,0.1,0.041666666666666664,4.17,0.040201822916666664,False
Narrowband,narrowband_sir_db,30.0,0.8333333333333334,83.33,0.3855794270833333,True
Narrowband,narrowband_sir_db,20.0,0.8333333333333334,83.33,0.3863932291666667,False
Narrowband,narrowband_sir_db,10.0,0.875,87.5,0.3798828125,False
Narrowband,narrowband_sir_db,5.0,0.8333333333333334,83.33,0.3779296875,False
Narrowband,narrowband_sir_db,0.0,0.75,75.0,0.3395182291666667,False
Phase noise,phase_noise_std,0.0,0.8333333333333334,83.33,0.3865559895833333,True
Phase noise,phase_noise_std,0.01,0.7916666666666666,79.17,0.3317057291666667,False
Phase noise,phase_noise_std,0.03,0.5,50.0,0.1650390625,False
Phase noise,phase_noise_std,0.05,0.16666666666666666,16.67,0.10595703125,False
Phase noise,phase_noise_std,0.1,0.16666666666666666,16.67,0.07438151041666667,False
IQ imbalance (amp),iq_amp_db,0.0,0.8333333333333334,83.33,0.3865559895833333,True
IQ imbalance (amp),iq_amp_db,1.0,0.8333333333333334,83.33,0.3766276041666667,False
IQ imbalance (amp),iq_amp_db,3.0,0.625,62.5,0.3375651041666667,False
IQ imbalance (amp),iq_amp_db,5.0,0.5,50.0,0.2581380208333333,False
Filter drift,filter_tilt_norm,0.0,0.8333333333333334,83.33,0.3865559895833333,True
Filter drift,filter_tilt_norm,0.1,0.75,75.0,0.3798828125,False
Filter drift,filter_tilt_norm,0.2,0.6666666666666666,66.67,0.36669921875,False
Filter drift,filter_tilt_norm,0.4,0.5,50.0,0.2822265625,False
Mixed stress,mixed_awgn_cfo,awgn_cfo,0.08333333333333333,8.33,0.049967447916666664,False
Mixed stress,mixed_awgn_nbi,awgn_nbi,0.08333333333333333,8.33,0.056803385416666664,False
Mixed stress,mixed_cfo_iq,cfo_iq,0.041666666666666664,4.17,0.0390625,False
