model_label,condition,perturb_type,strength,file_acc,file_acc_pct,experiment
A_clean_only_ft,clean,awgn_snr_db,100.0,0.7916666666666666,79.17,A_clean_only_ft
A_clean_only_ft,awgn_30db,awgn_snr_db,30.0,0.625,62.5,A_clean_only_ft
A_clean_only_ft,awgn_20db,awgn_snr_db,20.0,0.3333333333333333,33.33,A_clean_only_ft
A_clean_only_ft,cfo_0.003,cfo_norm,0.003,0.041666666666666664,4.17,A_clean_only_ft
A_clean_only_ft,cfo_0.01,cfo_norm,0.01,0.041666666666666664,4.17,A_clean_only_ft
A_clean_only_ft,nbi_20db,narrowband_sir_db,20.0,0.8333333333333334,83.33,A_clean_only_ft
A_clean_only_ft,nbi_10db,narrowband_sir_db,10.0,0.7916666666666666,79.17,A_clean_only_ft
B_em_aug_ce,clean,awgn_snr_db,100.0,0.7916666666666666,79.17,B_em_aug_ce
B_em_aug_ce,awgn_30db,awgn_snr_db,30.0,0.625,62.5,B_em_aug_ce
B_em_aug_ce,awgn_20db,awgn_snr_db,20.0,0.3333333333333333,33.33,B_em_aug_ce
B_em_aug_ce,cfo_0.003,cfo_norm,0.003,0.041666666666666664,4.17,B_em_aug_ce
B_em_aug_ce,cfo_0.01,cfo_norm,0.01,0.041666666666666664,4.17,B_em_aug_ce
B_em_aug_ce,nbi_20db,narrowband_sir_db,20.0,0.7916666666666666,79.17,B_em_aug_ce
B_em_aug_ce,nbi_10db,narrowband_sir_db,10.0,0.8333333333333334,83.33,B_em_aug_ce
C_weak_cfo,clean,awgn_snr_db,100.0,0.7916666666666666,79.17,C_weak_cfo
C_weak_cfo,awgn_30db,awgn_snr_db,30.0,0.7083333333333334,70.83,C_weak_cfo
C_weak_cfo,awgn_20db,awgn_snr_db,20.0,0.2916666666666667,29.17,C_weak_cfo
C_weak_cfo,cfo_0.003,cfo_norm,0.003,0.041666666666666664,4.17,C_weak_cfo
C_weak_cfo,cfo_0.01,cfo_norm,0.01,0.041666666666666664,4.17,C_weak_cfo
C_weak_cfo,nbi_20db,narrowband_sir_db,20.0,0.7916666666666666,79.17,C_weak_cfo
C_weak_cfo,nbi_10db,narrowband_sir_db,10.0,0.7916666666666666,79.17,C_weak_cfo
D_stopgrad_kl,clean,awgn_snr_db,100.0,0.7916666666666666,79.17,D_stopgrad_kl
D_stopgrad_kl,awgn_30db,awgn_snr_db,30.0,0.625,62.5,D_stopgrad_kl
D_stopgrad_kl,awgn_20db,awgn_snr_db,20.0,0.3333333333333333,33.33,D_stopgrad_kl
D_stopgrad_kl,cfo_0.003,cfo_norm,0.003,0.041666666666666664,4.17,D_stopgrad_kl
D_stopgrad_kl,cfo_0.01,cfo_norm,0.01,0.041666666666666664,4.17,D_stopgrad_kl
D_stopgrad_kl,nbi_20db,narrowband_sir_db,20.0,0.8333333333333334,83.33,D_stopgrad_kl
D_stopgrad_kl,nbi_10db,narrowband_sir_db,10.0,0.7916666666666666,79.17,D_stopgrad_kl
