split_seed,condition,scorer,auroc,eer,far,frr,known_acc,threshold
0,clean,proto_dist,1.0,0.0,0.0,0.0,0.8,-0.293692022562027
0,clean,mahalanobis,1.0,0.0,0.0,0.0,0.8,-19.500486466414095
0,clean,msp,0.175,0.0,0.75,0.75,0.8,0.42466863989830017
0,clean,energy,0.4625,0.050000000000000044,0.75,0.45,0.8,5.376773834228516
0,awgn_30db,proto_dist,1.0,0.0,0.0,0.0,0.7,-0.3734467923641205
0,awgn_30db,mahalanobis,0.9875,0.05,0.0,0.1,0.7,-96.2988705747135
0,awgn_30db,msp,0.3625,0.050000000000000044,0.75,0.5,0.7,0.28630393743515015
0,awgn_30db,energy,0.55,0.0,0.5,0.4,0.7,5.199795722961426
0,awgn_20db,proto_dist,0.6875,0.04999999999999999,0.5,0.15,0.3,-0.5199651122093201
0,awgn_20db,mahalanobis,0.7,0.09999999999999998,0.5,0.35,0.3,-682.8719615939145
0,awgn_20db,msp,0.4875,0.0,0.5,0.5,0.3,0.2231178879737854
0,awgn_20db,energy,0.5625,0.0,0.5,0.45,0.3,4.23834228515625
0,cfo_0.001,proto_dist,0.975,0.1,0.0,0.1,0.1,-0.33465394377708435
0,cfo_0.001,mahalanobis,1.0,0.0,0.0,0.15,0.1,-12.196155616060405
0,cfo_0.001,msp,0.3125,0.0,0.75,0.5,0.1,0.26522982120513916
0,cfo_0.001,energy,0.65,0.0,0.5,0.55,0.1,5.382184028625488
0,cfo_0.003,proto_dist,0.45,0.0,0.75,0.5,0.05,-0.22572432458400726
0,cfo_0.003,mahalanobis,0.725,0.09999999999999998,0.5,0.3,0.05,-20.992922287052785
0,cfo_0.003,msp,0.25,0.0,1.0,0.5,0.05,0.26418575644493103
0,cfo_0.003,energy,0.5125,0.0,0.5,0.6,0.05,5.163013458251953
0,nbi_10db,proto_dist,1.0,0.0,0.0,0.0,0.85,-0.31189247965812683
0,nbi_10db,mahalanobis,1.0,0.0,0.0,0.0,0.85,-28.851303938106433
0,nbi_10db,msp,0.2,0.0,0.75,0.75,0.85,0.41526564955711365
0,nbi_10db,energy,0.475,0.050000000000000044,0.75,0.4,0.85,5.272764205932617
0,phase_0.03,proto_dist,0.6625,0.04999999999999999,0.25,0.45,0.35,-0.47638747096061707
0,phase_0.03,mahalanobis,0.7875,0.04999999999999999,0.25,0.55,0.35,-303.91876340413114
0,phase_0.03,msp,0.225,0.09999999999999998,0.5,0.65,0.35,0.20597968995571136
0,phase_0.03,energy,0.3875,0.09999999999999998,0.5,0.6,0.35,4.017173767089844
0,iq_3db_5deg,proto_dist,1.0,0.0,0.0,0.0,0.65,-0.37228962779045105
0,iq_3db_5deg,mahalanobis,1.0,0.0,0.0,0.0,0.65,-38.40211707525876
0,iq_3db_5deg,msp,0.175,0.050000000000000044,0.5,0.7,0.65,0.34280484914779663
0,iq_3db_5deg,energy,0.5,0.09999999999999998,0.75,0.65,0.65,5.116804599761963
0,filter_0.2,proto_dist,1.0,0.0,0.0,0.05,0.6,-0.3776911795139313
0,filter_0.2,mahalanobis,0.975,0.1,0.25,0.1,0.6,-20.588706425867876
0,filter_0.2,msp,0.3125,0.050000000000000044,0.75,0.7,0.6,0.3654613792896271
0,filter_0.2,energy,0.5375,0.09999999999999998,0.75,0.5,0.6,5.095483303070068
0,mixed_awgn_cfo,proto_dist,0.375,0.0,0.5,0.55,0.1,-0.42118239402770996
0,mixed_awgn_cfo,mahalanobis,0.7625,0.09999999999999998,0.25,0.4,0.1,-196.5283420082744
0,mixed_awgn_cfo,msp,0.5,0.0,0.5,0.7,0.1,0.25322580337524414
0,mixed_awgn_cfo,energy,0.725,0.09999999999999998,0.25,0.4,0.1,4.430499076843262
1,clean,proto_dist,0.875,0.0,0.25,0.2,0.85,-0.1417662501335144
1,clean,mahalanobis,0.8625,0.0,0.5,0.2,0.85,-3.724896239152483
1,clean,msp,0.3875,0.0,0.5,0.45,0.85,0.2986636459827423
1,clean,energy,0.525,0.0,0.75,0.3,0.85,5.149735450744629
1,awgn_30db,proto_dist,0.75,0.0,0.5,0.25,0.7,-0.19321367144584656
1,awgn_30db,mahalanobis,0.525,0.0,0.5,0.45,0.7,-67.18857558745987
1,awgn_30db,msp,0.5625,0.0,0.5,0.35,0.7,0.2711201012134552
1,awgn_30db,energy,0.6,0.0,0.25,0.35,0.7,5.0458526611328125
1,awgn_20db,proto_dist,0.4875,0.09999999999999998,0.75,0.3,0.3,-0.5060961842536926
1,awgn_20db,mahalanobis,0.575,0.04999999999999999,0.5,0.35,0.3,-591.2832777909593
1,awgn_20db,msp,0.775,0.04999999999999999,0.25,0.4,0.3,0.2208179235458374
1,awgn_20db,energy,0.5875,0.09999999999999998,0.25,0.45,0.3,4.250728130340576
1,cfo_0.001,proto_dist,0.525,0.0,0.5,0.5,0.15,-0.1940743774175644
1,cfo_0.001,mahalanobis,0.525,0.0,0.5,0.5,0.15,-7.0980526247900295
1,cfo_0.001,msp,0.375,0.09999999999999998,0.75,0.5,0.15,0.26522982120513916
1,cfo_0.001,energy,0.5125,0.04999999999999999,0.5,0.45,0.15,5.112448692321777
1,cfo_0.003,proto_dist,0.6625,0.04999999999999999,0.5,0.4,0.0,-0.2610834240913391
1,cfo_0.003,mahalanobis,0.675,0.0,0.5,0.3,0.0,-13.706952330132241
