dataset_index,file_path,window_index,sample_offset,label
0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,0,0,0
1,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,1,644897,0
2,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,2,1289794,0
3,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,3,1934691,0
4,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,4,2579588,0
5,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,5,3224485,0
6,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,6,3869382,0
7,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,7,4514279,0
8,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,8,5159176,0
9,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,9,5804073,0
10,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,10,6448970,0
11,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,11,7093867,0
12,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,12,7738764,0
13,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,13,8383661,0
14,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,14,9028558,0
15,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,15,9673455,0
16,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,16,10318352,0
17,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,17,10963249,0
18,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,18,11608146,0
19,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,19,12253043,0
