norm,fft_window,guard_hz,d_same_cross_day,d_diff_same_day,rho_day,n_same_pairs,n_diff_pairs,n_test_files,n_correct,probe_acc
legacy_zscore,rectangular,0.0,0.01176532121429439,0.01244176559156656,0.9456311588340254,144,1104,24,6,0.25
legacy_zscore,rectangular,12500.0,0.013149654417755206,0.013575048153940814,0.9686635560064575,144,1104,24,2,0.08333333333333333
legacy_zscore,rectangular,25000.0,0.012238190828072489,0.012419834135802246,0.9853747396508187,144,1104,24,2,0.08333333333333333
legacy_zscore,hann,0.0,0.0089378442236994,0.009598271504232725,0.9311931028162639,144,1104,24,7,0.2916666666666667
legacy_zscore,hann,12500.0,0.00975064400291299,0.01019305597213246,0.9565967291429565,144,1104,24,7,0.2916666666666667
legacy_zscore,hann,25000.0,0.008701890080699957,0.00886914160627164,0.9811423097074679,144,1104,24,6,0.25
corrected_zscore,rectangular,0.0,0.011765321213250178,0.012441765581292959,0.9456311595309382,144,1104,24,6,0.25
corrected_zscore,rectangular,12500.0,0.013149654416015939,0.013575048155136403,0.9686635557930225,144,1104,24,2,0.08333333333333333
corrected_zscore,rectangular,25000.0,0.012238190831620107,0.01241983413943647,0.985374739648125,144,1104,24,2,0.08333333333333333
corrected_zscore,hann,0.0,0.0089378442236994,0.009598271504232725,0.9311931028162639,144,1104,24,7,0.2916666666666667
corrected_zscore,hann,12500.0,0.00975064400291299,0.01019305597213246,0.9565967291429565,144,1104,24,7,0.2916666666666667
corrected_zscore,hann,25000.0,0.008701890080699957,0.00886914160627164,0.9811423097074679,144,1104,24,6,0.25
oob_only_zscore,rectangular,0.0,0.020839283601300704,0.02203802481676013,0.945605777948495,144,1104,24,6,0.25
oob_only_zscore,rectangular,12500.0,0.043926698361260876,0.04540785001503941,0.9673811542874643,144,1104,24,2,0.08333333333333333
oob_only_zscore,rectangular,25000.0,0.06917766708323066,0.07035693168162586,0.9832388284962237,144,1104,24,2,0.08333333333333333
oob_only_zscore,hann,0.0,0.016401901149381448,0.017634192682852406,0.9301191976500719,144,1104,24,7,0.2916666666666667
oob_only_zscore,hann,12500.0,0.03734935830592248,0.039261889470722754,0.9512878470551849,144,1104,24,7,0.2916666666666667
oob_only_zscore,hann,25000.0,0.06363646656928168,0.06558943666430038,0.97022431973285,144,1104,24,6,0.25
ratio,rectangular,0.0,0.03160530983496887,0.039330861559231794,0.8035753243638373,144,1104,24,8,0.3333333333333333
ratio,rectangular,12500.0,0.03500964721024668,0.03908471460428791,0.8957375681184029,144,1104,24,5,0.20833333333333334
ratio,rectangular,25000.0,0.03232687640613273,0.03339803303034556,0.9679275536005496,144,1104,24,3,0.125
ratio,hann,0.0,0.029334005033398898,0.03604664150421644,0.8137791430574094,144,1104,24,4,0.16666666666666666
ratio,hann,12500.0,0.040422572503380744,0.044858376906503926,0.9011153610758474,144,1104,24,4,0.16666666666666666
ratio,hann,25000.0,0.04780808586693531,0.04758709765350626,1.0046438682820735,144,1104,24,5,0.20833333333333334
log_ratio,rectangular,0.0,0.0008201828201533283,0.0008403230090543854,0.9760328008586593,144,1104,24,3,0.125
log_ratio,rectangular,12500.0,0.0007823273107659193,0.0007930249325469341,0.9865103588273604,144,1104,24,2,0.08333333333333333
log_ratio,rectangular,25000.0,0.0007452186888618954,0.0007495216029482301,0.9942591193243674,144,1104,24,1,0.041666666666666664
log_ratio,hann,0.0,0.0015167250759728248,0.0014601196778426758,1.038767642809789,144,1104,24,5,0.20833333333333334
log_ratio,hann,12500.0,0.0014857901532813304,0.0014240117437926349,1.043383356744066,144,1104,24,5,0.20833333333333334
log_ratio,hann,25000.0,0.0014448221298987282,0.001380058653451363,1.0469280608366893,144,1104,24,3,0.125
