receiver,model,seed,condition,accuracy,macro_f1,n_eval
b200_2,Shen-CIS,0,clean,0.993,0.9929904901724615,2000
b200_2,Shen-CIS,1,clean,0.9965,0.996496133852457,2000
b200_2,Shen-CIS,2,clean,0.9935,0.9934970865899662,2000
b200_2,Shen-CIS,3,clean,0.9965,0.9964986562124698,2000
b200_2,Shen-CIS,4,clean,0.9945,0.9944899022450808,2000
b200_2,Shen-RA,0,clean,0.996,0.9959973996745349,2000
b200_2,Shen-RA,1,clean,0.9935,0.9934966522632662,2000
b200_2,Shen-RA,2,clean,0.993,0.9929776510082979,2000
b200_2,Shen-RA,3,clean,0.997,0.9969999093452893,2000
b200_2,Shen-RA,4,clean,0.9945,0.9944843104833069,2000
b200_2,B1-OOB,0,clean,0.419,0.33503081903044574,2000
b200_2,B1-OOB,0,scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,0,scale_0.70710678,0.1,0.01818181818173554,2000
b200_2,B1-OOB,0,scale_1.41421356,0.178,0.07038055904973803,2000
b200_2,B1-OOB,0,scale_2.0,0.1545,0.06315407067710477,2000
b200_2,B1-OOB,0,shuffle,0.0915,0.07183350357126844,2000
b200_2,B1-OOB,0,neutral,0.115,0.04318647803250393,2000
b200_2,B1-OOB,0,left_scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,0,right_scale_0.5,0.3545,0.2609546862108377,2000
b200_2,B1-OOB,1,clean,0.5085,0.4543788923971649,2000
b200_2,B1-OOB,1,scale_0.5,0.1,0.018190086402827696,2000
b200_2,B1-OOB,1,scale_0.70710678,0.1,0.023543260741474142,2000
b200_2,B1-OOB,1,scale_1.41421356,0.1085,0.04224352376009423,2000
b200_2,B1-OOB,1,scale_2.0,0.119,0.04503634961385532,2000
b200_2,B1-OOB,1,shuffle,0.1075,0.08855907181052673,2000
b200_2,B1-OOB,1,neutral,0.169,0.0886882803323255,2000
b200_2,B1-OOB,1,left_scale_0.5,0.1,0.01825650387942375,2000
b200_2,B1-OOB,1,right_scale_0.5,0.356,0.29805774194064466,2000
b200_2,B1-OOB,2,clean,0.6585,0.6182733794847846,2000
b200_2,B1-OOB,2,scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,2,scale_0.70710678,0.1,0.01818181818173554,2000
b200_2,B1-OOB,2,scale_1.41421356,0.1055,0.0300766283522735,2000
b200_2,B1-OOB,2,scale_2.0,0.101,0.02058799534537304,2000
b200_2,B1-OOB,2,shuffle,0.1375,0.12404987081225245,2000
b200_2,B1-OOB,2,neutral,0.1655,0.1114284836168773,2000
b200_2,B1-OOB,2,left_scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,2,right_scale_0.5,0.425,0.3514036672505966,2000
b200_2,B1-OOB,3,clean,0.5665,0.515352227603526,2000
b200_2,B1-OOB,3,scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,3,scale_0.70710678,0.1,0.018206645425497468,2000
b200_2,B1-OOB,3,scale_1.41421356,0.001,0.0005347593582816208,2000
b200_2,B1-OOB,3,scale_2.0,0.1,0.01818181818173554,2000
b200_2,B1-OOB,3,shuffle,0.1155,0.10411865319687966,2000
b200_2,B1-OOB,3,neutral,0.129,0.06311956644290692,2000
b200_2,B1-OOB,3,left_scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,3,right_scale_0.5,0.445,0.4024803787364387,2000
b200_2,B1-OOB,4,clean,0.656,0.5904222287532893,2000
b200_2,B1-OOB,4,scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,4,scale_0.70710678,0.1,0.018382352941091994,2000
b200_2,B1-OOB,4,scale_1.41421356,0.1105,0.05063456926647649,2000
b200_2,B1-OOB,4,scale_2.0,0.09,0.016620498614881716,2000
b200_2,B1-OOB,4,shuffle,0.1145,0.09952530718476547,2000
b200_2,B1-OOB,4,neutral,0.1625,0.1059760349477484,2000
b200_2,B1-OOB,4,left_scale_0.5,0.1,0.01818181818173554,2000
b200_2,B1-OOB,4,right_scale_0.5,0.3355,0.23493007129426005,2000
b200_2,C'-OOB,0,clean,0.7645,0.7466136901256473,2000
b200_2,C'-OOB,0,scale_0.5,0.1635,0.07812849926252888,2000
b200_2,C'-OOB,0,scale_0.70710678,0.2935,0.17553531223723357,2000
b200_2,C'-OOB,0,scale_1.41421356,0.183,0.10063412721542657,2000
b200_2,C'-OOB,0,scale_2.0,0.138,0.06354070864354974,2000
b200_2,C'-OOB,0,shuffle,0.015,0.013546176109790748,2000
