phase,experiment,seed,model_type,oob_fusion_type,window_acc,window_macro_f1,file_acc,file_macro_f1,n_windows,n_files,checkpoint_metric,checkpoint_epoch,checkpoint_val_acc,checkpoint_val_macro_f1,eval_checkpoint,manifest,metrics_path
phase4_deployment_20260624_233607_b030d34,config_loco_fold_1_cnn,,osu_cnn,concat_oob,0.00927734375,0.005773591844534225,0.0,0.0,6144,24,acc,3,0.16536458333333334,0.1660130719343821,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_1_cnn/metrics.json
phase4_deployment_20260624_233607_b030d34,config_loco_fold_1_hybrid,,rf_hstu,cross_attn_oob,0.055013020833333336,0.020079595841845137,0.041666666666666664,0.0043859649122807015,6144,24,acc,2,0.16666666666666666,0.16666666666666666,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_1_hybrid/metrics.json
phase4_deployment_20260624_233607_b030d34,config_loco_fold_2_cnn,,osu_cnn,concat_oob,0.07047526041666667,0.048194493420292465,0.041666666666666664,0.027777777777777776,6144,24,acc,75,0.0013020833333333333,0.002594033721834421,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_2_cnn/metrics.json
phase4_deployment_20260624_233607_b030d34,config_loco_fold_2_hybrid,,rf_hstu,cross_attn_oob,0.06005859375,0.03599402582818765,0.08333333333333333,0.052083333333333336,6144,24,acc,7,0.169921875,0.2195254514614741,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_2_hybrid/metrics.json
phase4_deployment_20260624_233607_b030d34,config_loco_fold_3_cnn,,osu_cnn,concat_oob,0.06819661458333333,0.04032701934822427,0.08333333333333333,0.05833333333333333,6144,24,acc,70,0.0006510416666666666,0.0012970168609172106,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_3_cnn/metrics.json
phase4_deployment_20260624_233607_b030d34,config_loco_fold_3_hybrid,,rf_hstu,cross_attn_oob,0.1318359375,0.1078808396221681,0.16666666666666666,0.125,6144,24,acc,6,0.007161458333333333,0.013732834408680597,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_3_hybrid/metrics.json
phase4_deployment_20260624_233607_b030d34,config_loco_fold_4_cnn,,osu_cnn,concat_oob,0.042317708333333336,0.017131189335223226,0.041666666666666664,0.004166666666666667,6144,24,acc,39,0.009114583333333334,0.017283950001001358,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_4_cnn/metrics.json
phase4_deployment_20260624_233607_b030d34,config_loco_fold_4_hybrid,,rf_hstu,cross_attn_oob,0.040201822916666664,0.01264787609390973,0.0,0.0,6144,24,acc,8,0.07747395833333333,0.1064663528619955,best.pt,data/manifest_configs_leave_one_config.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/config_loco_fold_4_hybrid/metrics.json
phase4_deployment_20260624_233607_b030d34,distance_loco_fold_10m_cnn,,osu_cnn,concat_oob,0.0126953125,0.011556655492112761,0.041666666666666664,0.041666666666666664,6144,24,acc,34,0.0032552083333333335,0.006385695810119311,best.pt,data/manifest_distances_leave_one_distance.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/distance_loco_fold_10m_cnn/metrics.json
phase4_deployment_20260624_233607_b030d34,distance_loco_fold_10m_hybrid,,rf_hstu,cross_attn_oob,0.17578125,0.13501230015213425,0.20833333333333334,0.12314814814814813,6144,24,acc,58,0.107421875,0.13064133127530417,best.pt,data/manifest_distances_leave_one_distance.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/distance_loco_fold_10m_hybrid/metrics.json
phase4_deployment_20260624_233607_b030d34,distance_loco_fold_15m_cnn,,osu_cnn,concat_oob,0.0546875,0.016120312845986206,0.041666666666666664,0.004629629629629629,6144,24,acc,7,0.0006510416666666666,0.0012970168609172106,best.pt,data/manifest_distances_leave_one_distance.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/distance_loco_fold_15m_cnn/metrics.json
phase4_deployment_20260624_233607_b030d34,distance_loco_fold_15m_hybrid,,rf_hstu,cross_attn_oob,0.2506510416666667,0.23485079489307778,0.3333333333333333,0.2569444444444444,6144,24,acc,71,0.12760416666666666,0.14542118700531623,best.pt,data/manifest_distances_leave_one_distance.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/distance_loco_fold_15m_hybrid/metrics.json
phase4_deployment_20260624_233607_b030d34,distance_loco_fold_20m_cnn,,osu_cnn,concat_oob,0.10465494791666667,0.046914921939419325,0.08333333333333333,0.025219298245614034,6144,24,acc,73,0.15755208333333334,0.21385523676872253,best.pt,data/manifest_distances_leave_one_distance.csv,outputs/paper_runs/phase4_deployment_20260624_233607_b030d34/outputs/distance_loco_fold_20m_cnn/metrics.json
