label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,0,0,0,0,0,0,0,0,0,0,0,165,0,84,0,0,7,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,176,0,73,0,0,6,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,195,0,52,4,0,4,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,171,0,77,2,0,4,0,0,0,0,0,2,0
4,2,0,5,8,0,1,0,4,8,0,0,119,10,77,3,10,5,3,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,0,0,0,177,0,68,5,0,3,0,0,0,0,0,3,0
6,0,0,0,0,0,0,0,0,0,0,0,161,0,84,4,1,5,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,163,0,83,5,0,4,0,0,0,0,0,1,0
8,0,0,0,0,0,0,0,0,0,0,0,193,0,53,4,0,5,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,0,0,0,176,0,70,6,0,3,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,0,0,0,180,0,66,4,0,5,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,171,0,77,4,0,4,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,167,0,79,6,0,3,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,0,0,0,176,0,71,5,0,3,0,0,0,0,0,1,0
14,0,0,5,0,0,1,0,3,10,0,0,116,4,60,19,7,20,5,0,0,0,0,6,0
15,0,0,0,0,0,0,0,0,0,0,0,178,0,67,5,0,3,0,0,0,0,0,3,0
16,0,0,2,0,0,0,0,0,0,0,0,140,0,72,20,0,16,0,0,0,0,0,6,0
17,0,0,0,0,0,0,0,0,0,0,0,175,0,70,4,0,5,0,0,0,0,0,2,0
18,0,0,0,0,0,0,0,0,0,0,0,176,0,69,5,0,4,0,0,0,0,0,2,0
19,10,0,1,17,56,0,0,0,3,0,0,60,8,35,25,7,10,1,0,19,0,0,4,0
20,0,0,0,0,0,0,0,0,0,0,0,186,0,61,5,0,3,0,0,0,0,0,1,0
21,0,0,0,0,0,0,0,0,0,0,0,166,0,80,5,0,4,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,0,0,0,170,0,76,4,0,5,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,0,0,0,0,189,0,58,4,0,4,0,0,0,0,0,1,0
