label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,3,29,165,2,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,15,0,0,24
1,0,186,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35
2,2,48,168,5,0,1,0,0,3,4,0,0,0,0,0,0,1,0,0,0,12,0,0,12
3,0,161,42,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,40
4,0,0,1,0,3,0,0,0,0,22,3,100,75,33,0,0,0,3,7,3,0,0,2,4
5,0,2,4,0,0,5,4,0,8,2,0,0,0,0,0,0,0,1,0,1,7,0,4,218
6,1,0,17,0,0,5,5,0,44,2,1,0,0,0,2,0,0,4,0,0,71,0,0,104
7,0,0,0,0,0,2,0,0,0,2,0,1,0,6,0,0,0,18,3,2,1,0,41,180
8,0,1,115,2,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,4,65,0,4,59
9,0,0,0,0,0,0,0,0,0,1,0,3,6,29,0,0,1,0,0,1,0,0,2,213
10,0,0,0,0,0,1,0,0,0,3,0,2,28,1,0,0,5,0,5,0,0,0,1,210
11,0,0,0,0,0,0,0,0,0,7,0,176,3,10,4,0,0,0,9,0,1,1,27,18
12,0,0,0,0,0,0,0,0,0,3,0,1,0,5,0,0,0,3,0,4,0,0,1,239
13,1,0,1,0,0,0,0,0,0,2,0,1,0,14,0,0,0,11,1,2,1,0,57,165
14,0,0,0,0,0,5,0,0,3,13,0,10,137,3,10,0,15,0,21,0,0,0,0,39
15,0,0,2,0,0,2,0,0,0,2,0,0,0,10,0,0,1,21,6,1,0,0,64,147
16,1,0,0,0,0,0,0,0,0,7,0,1,4,38,0,0,1,51,0,36,4,0,17,96
17,0,0,0,0,0,3,0,0,0,1,0,0,0,12,1,0,0,26,7,0,0,0,112,94
18,0,0,0,0,0,0,0,2,0,4,0,0,0,143,0,0,0,58,2,1,0,0,33,13
19,13,0,1,0,8,38,0,0,0,0,18,0,56,0,0,0,0,2,0,84,0,0,19,17
20,0,0,76,1,0,0,0,0,13,1,0,0,0,2,0,0,3,1,0,0,78,0,1,80
21,0,0,0,0,0,0,0,0,0,1,0,1,14,41,0,0,5,5,2,1,1,0,0,185
22,1,0,0,0,0,1,1,0,0,4,0,1,0,7,0,0,1,2,4,2,0,1,32,199
23,0,0,3,0,0,4,4,0,0,1,0,0,0,14,0,0,0,27,11,2,13,3,35,139
