model_id,seed,job_uid,file_acc,file_macro_f1,window_acc,window_macro_f1,n_files,n_windows,checkpoint_epoch,checkpoint_val_acc,checkpoint_val_macro_f1,checkpoint_metric,model_type,oob_fusion_type,oob_norm,manifest,has_ckpt,metrics_path,log_exists,log_has_traceback,log_has_fail
A_cnn_iq,0,A_cnn_iq_seed_0,0.625,0.5069444444444444,0.4140625,0.3651989748206032,24,6144,45,0.45751953125,0.5520728444680572,acc,osu_cnn,concat_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/A_cnn_iq/seed_0/metrics.json,True,False,False
A_cnn_iq,1,A_cnn_iq_seed_1,0.4166666666666667,0.3013888888888889,0.4064127604166667,0.32729498612620783,24,6144,37,0.4217122395833333,0.48750670479300123,acc,osu_cnn,concat_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/A_cnn_iq/seed_1/metrics.json,True,False,False
A_cnn_iq,2,A_cnn_iq_seed_2,0.625,0.5416666666666666,0.49755859375,0.4555334550214454,24,6144,79,0.4998372395833333,0.5981145245023072,acc,osu_cnn,concat_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/A_cnn_iq/seed_2/metrics.json,True,False,False
A_cnn_iq,3,A_cnn_iq_seed_3,0.3333333333333333,0.2708333333333333,0.3655598958333333,0.33119691295520615,24,6144,51,0.4474283854166667,0.5393347770053273,acc,osu_cnn,concat_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/A_cnn_iq/seed_3/metrics.json,True,False,False
A_cnn_iq,4,A_cnn_iq_seed_4,0.7083333333333334,0.6597222222222222,0.4931640625,0.45461328373590654,24,6144,73,0.5096028645833334,0.5980508167607089,acc,osu_cnn,concat_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/A_cnn_iq/seed_4/metrics.json,True,False,False
B_linear_no_oob,0,B_linear_no_oob_seed_0,0.625,0.5444444444444444,0.23209635416666666,0.19947942460621593,24,6144,63,0.234375,0.337189571854348,acc,rf_hstu,no_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/B_linear_no_oob/seed_0/metrics.json,True,False,False
B_linear_no_oob,1,B_linear_no_oob_seed_1,0.7083333333333334,0.6527777777777778,0.5672200520833334,0.5500685989199477,24,6144,76,0.55126953125,0.6619478602272769,acc,rf_hstu,no_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/B_linear_no_oob/seed_1/metrics.json,True,False,False
B_linear_no_oob,2,B_linear_no_oob_seed_2,0.6666666666666666,0.5763888888888887,0.38330078125,0.3556902613257585,24,6144,74,0.3782552083333333,0.5069864157897731,acc,rf_hstu,no_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/B_linear_no_oob/seed_2/metrics.json,True,False,False
C_cnn_stem_chirp_no_oob,0,C_cnn_stem_chirp_no_oob_seed_0,0.08333333333333333,0.018055555555555557,0.05224609375,0.01159103468371435,24,6144,6,0.05029296875,0.06404877950747807,acc,rf_hstu,no_oob,none,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/C_cnn_stem_chirp_no_oob/seed_0/metrics.json,True,False,False
D_concat_oob_plain,0,D_concat_oob_plain_seed_0,0.2916666666666667,0.2152777777777778,0.22054036458333334,0.19751428682024272,24,6144,78,0.20589192708333334,0.30417870516733575,acc,rf_hstu,concat_oob,zscore,data/paper/cross_day_day1to5_source_only.csv,True,/data1/hcc/llm4RF/outputs/paper_ready_v3/step1_phase7_clean/outputs/D_concat_oob_plain/seed_0/metrics.json,True,False,False
