label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,28,0,192,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,199,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,253,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,1,52,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,208,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,19
5,0,0,0,0,0,221,10,0,0,0,0,0,0,0,0,0,0,1,0,19,3,0,0,2
6,0,0,0,0,0,95,137,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3
7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,125,117,0,0,0,0,6,3
8,0,0,0,0,0,1,7,0,193,0,0,0,0,0,0,0,0,0,0,0,53,0,0,2
9,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,126,0,1
10,0,0,0,0,0,0,0,0,0,3,164,6,0,0,0,0,0,0,0,0,0,81,0,2
11,0,0,0,0,174,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,2
12,0,0,0,0,0,0,0,0,0,70,0,0,61,13,0,0,102,8,0,0,0,0,0,2
13,0,0,0,0,0,0,0,0,0,107,0,0,53,20,0,0,69,5,0,0,0,0,0,2
14,0,0,0,0,0,0,0,0,0,142,4,0,4,2,0,0,2,0,0,0,0,100,0,2
15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,1,37,0,1,0,0,115,62
16,0,0,0,0,0,0,0,0,0,32,0,0,50,4,0,0,157,12,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,111,136,0,0,0,0,4,0
18,0,0,0,0,0,0,0,0,0,206,0,0,10,2,0,0,2,1,0,0,0,34,0,1
19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,3,40
20,0,0,0,0,0,7,39,0,46,0,0,0,0,0,0,0,0,0,0,0,162,0,0,2
21,0,0,0,0,0,0,0,0,0,15,74,1,0,0,0,0,0,0,0,0,0,164,0,2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,34,0,2,0,0,197,17
23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,17,0,4,0,0,75,122
