label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,15,55,100,65,0,3,1,0,13,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
1,1,195,9,45,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2,5,15,157,36,1,8,3,0,24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1
3,7,106,50,75,1,2,1,0,9,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0
4,0,0,0,1,165,0,0,0,0,0,9,63,1,0,4,0,0,0,2,0,0,10,1,0
5,2,1,11,3,1,76,29,0,10,0,2,5,3,1,5,1,0,5,1,33,18,0,26,23
6,0,1,25,2,3,64,56,0,32,0,0,2,0,0,3,1,0,2,1,11,43,0,0,10
7,0,0,0,0,1,10,4,1,0,14,19,3,33,8,21,4,1,46,0,25,1,4,38,23
8,2,6,51,13,0,15,28,0,84,0,0,4,0,0,2,1,0,0,0,0,42,2,1,5
9,0,0,0,1,12,0,1,2,0,27,52,42,24,3,53,0,1,11,3,3,0,5,12,4
10,0,0,0,0,14,2,0,1,0,23,73,63,18,4,37,0,0,8,0,1,0,5,6,1
11,1,0,0,0,140,1,0,0,0,1,1,105,0,0,3,0,0,0,0,0,0,2,2,0
12,1,0,0,0,3,5,0,6,0,27,33,16,35,2,28,2,3,30,2,8,1,2,39,13
13,0,0,0,0,5,1,1,1,0,31,36,22,20,11,40,2,1,28,1,2,0,5,43,6
14,0,0,0,0,11,0,0,0,0,13,54,68,12,6,55,2,1,10,1,1,0,3,15,4
15,0,0,0,0,2,19,9,1,0,11,4,7,17,3,7,5,0,42,1,32,6,0,56,34
16,0,0,0,0,2,1,1,2,1,28,29,16,34,12,25,3,0,29,2,7,0,4,47,13
17,0,0,0,0,1,10,1,4,1,19,16,10,39,11,16,4,1,38,3,17,1,1,47,16
18,0,0,0,0,6,1,0,2,0,31,37,45,26,7,46,1,1,18,3,0,0,5,20,7
19,0,1,3,2,0,50,19,3,5,1,2,5,9,1,7,7,0,18,0,46,2,0,41,34
20,2,1,31,4,1,42,33,0,67,0,0,2,0,0,2,1,0,0,1,4,49,1,3,12
21,0,0,0,0,14,1,0,1,0,23,68,58,10,8,36,1,0,11,2,1,1,6,11,4
22,0,0,0,1,1,6,0,1,1,8,12,12,10,5,31,0,2,31,2,9,1,0,108,15
23,0,0,0,0,1,20,14,9,4,9,2,6,6,5,6,12,0,36,1,29,6,1,48,41
