label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,0,0,212,0,3,0,37,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1,0,0,215,0,3,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2,0,0,201,0,5,0,46,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
3,0,0,199,0,3,0,49,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
4,0,0,70,0,13,0,151,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
5,0,0,144,0,4,0,100,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
6,0,0,145,0,4,0,100,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
7,0,0,115,0,15,0,120,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
8,0,0,160,0,4,0,86,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
9,0,0,100,0,7,0,141,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10,0,0,101,0,7,0,141,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
11,0,0,79,0,18,0,153,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
12,0,0,115,0,9,0,125,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
13,0,0,115,0,8,0,126,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
14,0,0,101,0,9,0,139,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
15,0,0,124,0,7,0,117,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
16,0,0,116,0,9,0,123,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
17,0,0,106,0,6,0,137,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
18,0,0,113,0,12,0,124,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
19,0,0,141,0,5,0,104,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
20,0,0,164,0,8,0,77,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
21,0,0,104,0,10,0,134,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
22,0,0,120,0,8,0,120,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
23,0,0,134,0,8,0,105,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
