label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,34,60,34,68,0,0,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,167,7,64,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,20,60,41,0,3,13,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,31,89,24,81,0,0,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,140,0,0,0,0,0,10,85,11,0,0,0,0,0,0,0,0,8,0,2
5,0,1,1,1,1,59,80,4,22,0,1,0,0,0,0,2,0,0,1,27,0,1,16,39
6,0,1,4,1,0,23,148,0,49,0,0,1,2,0,0,1,0,0,0,6,0,0,2,18
7,0,0,0,0,1,3,2,22,0,0,6,2,66,3,3,11,16,0,16,5,0,24,24,52
8,6,12,7,12,0,4,91,0,115,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6
9,0,0,0,0,3,0,0,3,0,0,35,15,42,2,6,2,9,0,42,0,0,72,16,9
10,0,0,0,0,2,0,0,4,0,0,36,39,24,1,14,2,6,0,23,0,0,95,6,4
11,0,0,0,0,167,0,1,0,0,0,4,73,2,0,1,0,0,0,1,0,0,6,0,1
12,0,0,0,0,1,0,0,18,0,0,8,1,68,0,3,6,19,0,35,3,0,50,20,24
13,0,0,0,0,0,1,1,12,0,0,20,6,54,3,7,3,9,0,52,2,0,38,24,24
14,0,0,0,0,8,0,0,4,0,0,36,35,30,2,12,1,5,0,34,0,0,71,13,5
15,0,0,0,0,1,11,5,20,1,0,0,1,46,1,2,10,11,0,7,9,0,5,41,85
16,0,0,0,0,1,0,1,17,0,0,10,8,57,0,0,11,18,0,38,4,0,39,33,19
17,0,0,0,0,1,2,1,24,1,0,3,3,53,3,5,11,14,0,23,4,0,22,39,47
18,0,1,0,0,2,0,1,12,0,0,13,20,50,2,9,2,10,0,44,0,0,61,18,11
19,0,0,0,0,0,35,35,6,0,0,0,0,11,0,0,6,2,0,1,36,0,2,31,91
20,3,1,11,3,0,18,115,0,91,0,1,0,2,0,0,0,0,0,0,0,0,0,0,11
21,0,0,0,0,6,0,2,3,0,0,39,30,29,0,6,0,6,0,33,0,0,93,5,4
22,0,0,0,0,2,3,2,17,2,0,2,2,32,0,9,6,21,0,21,13,0,18,75,31
23,0,0,0,0,1,9,10,14,0,0,3,1,35,0,1,13,10,0,3,19,0,4,25,108
