label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,26,39,56,91,0,4,12,1,18,1,0,0,0,0,0,1,1,0,0,1,1,0,2,2
1,4,206,3,32,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,6,182,19,0,2,5,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
3,19,82,17,110,0,2,11,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,149,1,3,0,1,0,20,54,9,2,2,0,1,0,0,2,2,5,5,0
5,0,0,5,4,0,132,69,2,4,1,0,4,2,2,3,2,0,1,0,9,5,2,8,1
6,4,1,6,5,0,58,142,0,10,1,0,1,0,0,0,2,0,3,0,1,16,0,3,3
7,0,0,0,0,2,2,3,66,1,6,3,4,4,5,0,22,21,98,0,4,0,8,3,4
8,1,8,3,6,0,1,24,0,149,1,0,0,1,0,0,4,1,2,0,3,48,0,1,3
9,0,0,0,0,1,1,0,0,0,126,5,6,1,10,52,4,0,2,8,3,1,27,8,1
10,0,0,0,0,9,5,2,1,0,5,148,9,2,0,8,5,4,3,1,0,2,48,3,1
11,0,0,0,1,68,0,0,1,0,0,4,165,0,6,5,0,1,1,0,0,0,1,2,1
12,0,0,0,0,2,2,1,22,2,6,4,4,43,61,0,1,87,14,0,5,0,1,0,1
13,0,0,0,0,3,2,2,20,2,4,3,2,44,74,2,1,79,11,1,2,1,2,1,0
14,0,0,0,0,4,1,0,0,0,82,2,14,6,21,96,0,1,0,3,5,0,14,6,1
15,0,0,2,0,1,5,3,5,1,3,6,2,0,1,0,88,1,27,0,19,3,4,56,29
16,0,0,0,0,1,1,0,42,1,5,2,5,34,31,0,2,104,21,2,0,0,2,3,0
17,0,1,0,0,2,0,2,41,2,3,6,3,5,6,2,41,16,106,0,4,1,3,10,2
18,0,0,2,0,1,3,0,2,0,119,3,6,2,26,57,1,1,6,7,6,0,8,6,0
19,4,0,9,0,0,15,17,3,3,11,3,5,0,2,3,18,4,15,0,64,1,4,43,32
20,1,3,4,3,0,5,32,0,118,3,1,2,1,0,0,7,0,0,0,5,69,0,0,2
21,0,0,0,0,4,0,1,1,2,29,77,9,4,4,13,3,1,1,1,3,0,96,5,2
22,2,0,1,0,6,6,0,1,1,1,6,11,2,1,9,9,1,4,0,7,0,1,185,2
23,1,0,3,0,2,6,5,4,4,6,2,2,1,0,0,79,0,15,0,22,4,4,48,48
