model_id,seed,device,n_files,accuracy
F_cross_attn_chirp_plain,0,0,1,1.0
F_cross_attn_chirp_plain,0,1,1,1.0
F_cross_attn_chirp_plain,0,2,1,1.0
F_cross_attn_chirp_plain,0,3,1,1.0
F_cross_attn_chirp_plain,0,4,1,1.0
F_cross_attn_chirp_plain,0,5,1,1.0
F_cross_attn_chirp_plain,0,6,1,1.0
F_cross_attn_chirp_plain,0,7,1,0.0
F_cross_attn_chirp_plain,0,8,1,1.0
F_cross_attn_chirp_plain,0,9,1,0.0
F_cross_attn_chirp_plain,0,10,1,1.0
F_cross_attn_chirp_plain,0,11,1,1.0
F_cross_attn_chirp_plain,0,12,1,0.0
F_cross_attn_chirp_plain,0,13,1,1.0
F_cross_attn_chirp_plain,0,14,1,1.0
F_cross_attn_chirp_plain,0,15,1,1.0
F_cross_attn_chirp_plain,0,16,1,0.0
F_cross_attn_chirp_plain,0,17,1,1.0
F_cross_attn_chirp_plain,0,18,1,1.0
F_cross_attn_chirp_plain,0,19,1,1.0
F_cross_attn_chirp_plain,0,20,1,1.0
F_cross_attn_chirp_plain,0,21,1,1.0
F_cross_attn_chirp_plain,0,22,1,1.0
F_cross_attn_chirp_plain,0,23,1,1.0
A_cnn_iq,0,0,1,0.0
A_cnn_iq,0,1,1,0.0
A_cnn_iq,0,2,1,1.0
A_cnn_iq,0,3,1,1.0
A_cnn_iq,0,4,1,1.0
A_cnn_iq,0,5,1,1.0
A_cnn_iq,0,6,1,1.0
A_cnn_iq,0,7,1,1.0
A_cnn_iq,0,8,1,0.0
A_cnn_iq,0,9,1,1.0
A_cnn_iq,0,10,1,1.0
A_cnn_iq,0,11,1,0.0
A_cnn_iq,0,12,1,0.0
A_cnn_iq,0,13,1,1.0
A_cnn_iq,0,14,1,0.0
A_cnn_iq,0,15,1,0.0
A_cnn_iq,0,16,1,1.0
A_cnn_iq,0,17,1,0.0
A_cnn_iq,0,18,1,0.0
A_cnn_iq,0,19,1,1.0
A_cnn_iq,0,20,1,1.0
A_cnn_iq,0,21,1,1.0
A_cnn_iq,0,22,1,1.0
A_cnn_iq,0,23,1,1.0
F_cross_attn_chirp_plain,1,0,1,0.0
F_cross_attn_chirp_plain,1,1,1,1.0
F_cross_attn_chirp_plain,1,2,1,1.0
F_cross_attn_chirp_plain,1,3,1,1.0
F_cross_attn_chirp_plain,1,4,1,1.0
F_cross_attn_chirp_plain,1,5,1,1.0
F_cross_attn_chirp_plain,1,6,1,1.0
F_cross_attn_chirp_plain,1,7,1,0.0
F_cross_attn_chirp_plain,1,8,1,1.0
F_cross_attn_chirp_plain,1,9,1,1.0
F_cross_attn_chirp_plain,1,10,1,1.0
F_cross_attn_chirp_plain,1,11,1,1.0
F_cross_attn_chirp_plain,1,12,1,0.0
F_cross_attn_chirp_plain,1,13,1,0.0
F_cross_attn_chirp_plain,1,14,1,1.0
F_cross_attn_chirp_plain,1,15,1,1.0
F_cross_attn_chirp_plain,1,16,1,1.0
F_cross_attn_chirp_plain,1,17,1,1.0
F_cross_attn_chirp_plain,1,18,1,0.0
F_cross_attn_chirp_plain,1,19,1,1.0
F_cross_attn_chirp_plain,1,20,1,0.0
F_cross_attn_chirp_plain,1,21,1,1.0
F_cross_attn_chirp_plain,1,22,1,1.0
F_cross_attn_chirp_plain,1,23,1,0.0
A_cnn_iq,1,0,1,1.0
A_cnn_iq,1,1,1,0.0
A_cnn_iq,1,2,1,0.0
A_cnn_iq,1,3,1,1.0
A_cnn_iq,1,4,1,0.0
A_cnn_iq,1,5,1,1.0
A_cnn_iq,1,6,1,1.0
A_cnn_iq,1,7,1,0.0
A_cnn_iq,1,8,1,1.0
A_cnn_iq,1,9,1,0.0
A_cnn_iq,1,10,1,0.0
A_cnn_iq,1,11,1,0.0
A_cnn_iq,1,12,1,0.0
A_cnn_iq,1,13,1,0.0
A_cnn_iq,1,14,1,0.0
A_cnn_iq,1,15,1,1.0
A_cnn_iq,1,16,1,1.0
A_cnn_iq,1,17,1,0.0
A_cnn_iq,1,18,1,1.0
A_cnn_iq,1,19,1,1.0
A_cnn_iq,1,20,1,0.0
A_cnn_iq,1,21,1,1.0
A_cnn_iq,1,22,1,0.0
A_cnn_iq,1,23,1,0.0
F_cross_attn_chirp_plain,2,0,1,0.0
F_cross_attn_chirp_plain,2,1,1,1.0
F_cross_attn_chirp_plain,2,2,1,1.0
F_cross_attn_chirp_plain,2,3,1,1.0
F_cross_attn_chirp_plain,2,4,1,1.0
F_cross_attn_chirp_plain,2,5,1,1.0
F_cross_attn_chirp_plain,2,6,1,1.0
F_cross_attn_chirp_plain,2,7,1,0.0
F_cross_attn_chirp_plain,2,8,1,1.0
F_cross_attn_chirp_plain,2,9,1,0.0
F_cross_attn_chirp_plain,2,10,1,0.0
F_cross_attn_chirp_plain,2,11,1,1.0
F_cross_attn_chirp_plain,2,12,1,0.0
F_cross_attn_chirp_plain,2,13,1,1.0
F_cross_attn_chirp_plain,2,14,1,0.0
F_cross_attn_chirp_plain,2,15,1,1.0
F_cross_attn_chirp_plain,2,16,1,1.0
F_cross_attn_chirp_plain,2,17,1,1.0
F_cross_attn_chirp_plain,2,18,1,1.0
F_cross_attn_chirp_plain,2,19,1,1.0
F_cross_attn_chirp_plain,2,20,1,0.0
F_cross_attn_chirp_plain,2,21,1,1.0
F_cross_attn_chirp_plain,2,22,1,1.0
F_cross_attn_chirp_plain,2,23,1,1.0
A_cnn_iq,2,0,1,0.0
A_cnn_iq,2,1,1,1.0
A_cnn_iq,2,2,1,1.0
A_cnn_iq,2,3,1,1.0
A_cnn_iq,2,4,1,0.0
A_cnn_iq,2,5,1,1.0
A_cnn_iq,2,6,1,1.0
A_cnn_iq,2,7,1,1.0
A_cnn_iq,2,8,1,1.0
A_cnn_iq,2,9,1,1.0
A_cnn_iq,2,10,1,1.0
A_cnn_iq,2,11,1,1.0
A_cnn_iq,2,12,1,0.0
A_cnn_iq,2,13,1,1.0
A_cnn_iq,2,14,1,0.0
A_cnn_iq,2,15,1,1.0
A_cnn_iq,2,16,1,0.0
A_cnn_iq,2,17,1,0.0
A_cnn_iq,2,18,1,0.0
A_cnn_iq,2,19,1,1.0
A_cnn_iq,2,20,1,1.0
A_cnn_iq,2,21,1,0.0
A_cnn_iq,2,22,1,1.0
A_cnn_iq,2,23,1,0.0
F_cross_attn_chirp_plain,3,0,1,0.0
F_cross_attn_chirp_plain,3,1,1,1.0
F_cross_attn_chirp_plain,3,2,1,1.0
F_cross_attn_chirp_plain,3,3,1,1.0
F_cross_attn_chirp_plain,3,4,1,1.0
F_cross_attn_chirp_plain,3,5,1,1.0
F_cross_attn_chirp_plain,3,6,1,1.0
F_cross_attn_chirp_plain,3,7,1,0.0
F_cross_attn_chirp_plain,3,8,1,1.0
F_cross_attn_chirp_plain,3,9,1,1.0
F_cross_attn_chirp_plain,3,10,1,0.0
F_cross_attn_chirp_plain,3,11,1,1.0
F_cross_attn_chirp_plain,3,12,1,0.0
F_cross_attn_chirp_plain,3,13,1,1.0
F_cross_attn_chirp_plain,3,14,1,1.0
F_cross_attn_chirp_plain,3,15,1,1.0
F_cross_attn_chirp_plain,3,16,1,1.0
F_cross_attn_chirp_plain,3,17,1,1.0
F_cross_attn_chirp_plain,3,18,1,0.0
F_cross_attn_chirp_plain,3,19,1,1.0
F_cross_attn_chirp_plain,3,20,1,1.0
F_cross_attn_chirp_plain,3,21,1,1.0
F_cross_attn_chirp_plain,3,22,1,1.0
F_cross_attn_chirp_plain,3,23,1,1.0
A_cnn_iq,3,0,1,0.0
A_cnn_iq,3,1,1,1.0
A_cnn_iq,3,2,1,1.0
A_cnn_iq,3,3,1,0.0
A_cnn_iq,3,4,1,1.0
A_cnn_iq,3,5,1,1.0
A_cnn_iq,3,6,1,0.0
A_cnn_iq,3,7,1,0.0
A_cnn_iq,3,8,1,0.0
A_cnn_iq,3,9,1,0.0
A_cnn_iq,3,10,1,1.0
A_cnn_iq,3,11,1,0.0
A_cnn_iq,3,12,1,0.0
A_cnn_iq,3,13,1,0.0
A_cnn_iq,3,14,1,1.0
A_cnn_iq,3,15,1,0.0
A_cnn_iq,3,16,1,0.0
A_cnn_iq,3,17,1,0.0
A_cnn_iq,3,18,1,0.0
A_cnn_iq,3,19,1,1.0
A_cnn_iq,3,20,1,0.0
A_cnn_iq,3,21,1,1.0
A_cnn_iq,3,22,1,0.0
A_cnn_iq,3,23,1,0.0
F_cross_attn_chirp_plain,4,0,1,0.0
F_cross_attn_chirp_plain,4,1,1,1.0
F_cross_attn_chirp_plain,4,2,1,1.0
F_cross_attn_chirp_plain,4,3,1,1.0
F_cross_attn_chirp_plain,4,4,1,1.0
F_cross_attn_chirp_plain,4,5,1,1.0
F_cross_attn_chirp_plain,4,6,1,1.0
F_cross_attn_chirp_plain,4,7,1,0.0
F_cross_attn_chirp_plain,4,8,1,1.0
F_cross_attn_chirp_plain,4,9,1,1.0
F_cross_attn_chirp_plain,4,10,1,0.0
F_cross_attn_chirp_plain,4,11,1,1.0
F_cross_attn_chirp_plain,4,12,1,0.0
F_cross_attn_chirp_plain,4,13,1,1.0
F_cross_attn_chirp_plain,4,14,1,1.0
F_cross_attn_chirp_plain,4,15,1,0.0
F_cross_attn_chirp_plain,4,16,1,0.0
F_cross_attn_chirp_plain,4,17,1,1.0
F_cross_attn_chirp_plain,4,18,1,0.0
F_cross_attn_chirp_plain,4,19,1,1.0
F_cross_attn_chirp_plain,4,20,1,1.0
F_cross_attn_chirp_plain,4,21,1,1.0
F_cross_attn_chirp_plain,4,22,1,1.0
F_cross_attn_chirp_plain,4,23,1,1.0
A_cnn_iq,4,0,1,1.0
A_cnn_iq,4,1,1,1.0
A_cnn_iq,4,2,1,1.0
A_cnn_iq,4,3,1,1.0
A_cnn_iq,4,4,1,1.0
A_cnn_iq,4,5,1,1.0
A_cnn_iq,4,6,1,1.0
A_cnn_iq,4,7,1,0.0
A_cnn_iq,4,8,1,1.0
A_cnn_iq,4,9,1,0.0
A_cnn_iq,4,10,1,1.0
A_cnn_iq,4,11,1,0.0
A_cnn_iq,4,12,1,0.0
A_cnn_iq,4,13,1,0.0
A_cnn_iq,4,14,1,0.0
A_cnn_iq,4,15,1,1.0
A_cnn_iq,4,16,1,1.0
A_cnn_iq,4,17,1,1.0
A_cnn_iq,4,18,1,0.0
A_cnn_iq,4,19,1,1.0
A_cnn_iq,4,20,1,1.0
A_cnn_iq,4,21,1,1.0
A_cnn_iq,4,22,1,1.0
A_cnn_iq,4,23,1,1.0
