label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,0,112,0,0,0,0,75,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
1,0,168,0,0,0,0,34,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2,0,75,1,0,0,0,99,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
3,0,134,0,0,0,0,70,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
4,0,6,0,0,0,0,124,0,4,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0
5,0,53,0,0,0,0,102,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0
6,0,78,0,0,0,0,111,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0
7,0,38,0,0,0,0,152,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
8,0,116,1,0,0,0,94,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
9,0,18,0,0,0,0,143,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0
10,0,23,0,0,0,0,129,0,1,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0
11,0,6,0,0,0,0,85,1,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0
12,0,37,0,0,0,0,140,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
13,0,19,0,0,0,0,145,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0
14,0,18,0,0,0,0,120,0,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0
15,0,46,0,0,0,0,130,0,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
16,0,32,0,0,0,0,141,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
17,0,35,0,0,0,0,146,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
18,0,35,0,0,0,0,141,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
19,0,44,1,0,0,0,137,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
20,0,109,0,0,0,0,93,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0
21,0,24,0,0,0,0,146,0,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
22,0,12,0,0,0,0,105,1,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0
23,0,44,0,0,0,0,131,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0
