label,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23
0,71,0,18,166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,247,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,3,1,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,3,0,230,3,0,0,1,0,0,13,0,0,1,0,0,1,0,2,2,0,0,0
5,0,0,0,0,0,200,23,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0
6,0,0,0,0,0,14,227,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,1,1
7,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0
8,0,0,9,0,1,0,0,0,229,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0
9,0,0,0,0,0,0,0,0,0,193,0,1,0,0,37,0,0,0,17,0,0,8,0,0
10,0,0,0,0,1,0,0,0,0,0,217,4,0,0,0,0,0,1,0,0,0,33,0,0
11,0,0,0,0,16,0,0,1,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,2,0,0,0,0,30,55,0,1,167,0,0,0,0,0,0,0
13,0,0,1,0,0,0,0,1,1,0,0,1,31,67,0,0,154,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,96,0,3,0,10,132,0,0,0,8,0,0,7,0,0
15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,183,0,43,0,2,0,0,14,11
16,0,0,1,0,0,0,0,26,0,0,0,0,1,19,0,0,209,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,66,0,0,0,0,0,0,1,3,0,186,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,146,0,1,0,6,85,0,0,0,12,0,0,6,0,0
19,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,12,0,1,0,206,0,0,12,17
20,0,0,3,0,1,0,8,0,59,0,0,0,0,1,0,0,0,0,0,0,184,0,0,0
21,0,0,0,0,1,0,0,0,0,3,72,3,0,0,0,0,0,0,0,0,0,176,1,0
22,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,6,0,5,0,6,0,0,228,6
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,185,0,25,0,1,0,0,14,29
