label,device_name,num_samples,num_files,window_acc,file_acc
0,Device1,256,1,0.27734375,0.0
1,Device2,256,1,0.96484375,1.0
2,Device3,256,1,0.87890625,1.0
3,Device4,256,1,0.91796875,1.0
4,Device5,256,1,0.8984375,1.0
5,Device6,256,1,0.78125,1.0
6,Device7,256,1,0.88671875,1.0
7,Device8,256,1,0.63671875,1.0
8,Device9,256,1,0.89453125,1.0
9,Device10,256,1,0.75390625,1.0
10,Device11,256,1,0.84765625,1.0
11,Device12,256,1,0.93359375,1.0
12,Device13,256,1,0.1171875,0.0
13,Device14,256,1,0.26171875,0.0
14,Device15,256,1,0.515625,1.0
15,Device16,256,1,0.71484375,1.0
16,Device17,256,1,0.81640625,1.0
17,Device18,256,1,0.7265625,1.0
18,Device19,256,1,0.046875,0.0
19,Device20,256,1,0.8046875,1.0
20,Device21,256,1,0.71875,1.0
21,Device22,256,1,0.6875,1.0
22,Device23,256,1,0.890625,1.0
23,Device24,256,1,0.11328125,0.0
